,puzzle,solution,clues,difficulty
183,....69.5....8..........423.5.......2.89...1...34.2...9....51....2....3.68....7...,412369857357812694698574231561983742289745163734126589973651428125498376846237915,23,0.0
184,....5....5..6.....3.784.....1.....23....815...4....67......9....58.7.2..7...3..6.,461957382582613947397842156915764823276381594843295671634529718158476239729138465,24,1.5
185,....819.......3.8...1.7.........6.3.2...5.6...8.4.....3...2...819......35......17,435281976729563184861974325954716832217358649683492751376125498192847563548639217,23,1.7
186,8..6..1.9....3.47....782.6...48..5..6..3...1.31....8.......46....62......4......7,873645129265931478491782365924817536658329714317456892782194653536278941149563287,26,1.0
187,....36....5.2.1...6.......4..2....1..874........6.7....1...9.8...9..2.5.7.3......,274536891958241673631798524462983715187425936395617248516379482849162357723854169,22,1.9
188,6....5....8.69.1.4.1..8......47..6......43.7........9....8.7..9.......5..62.5....,643175982785692134219384765954718623126943578378526491531867249497231856862459317,23,2.2
189,.2...7.1.1.3..........2.5488..3..9.57.4...........847....7...6...8.1.......4..7..,425897613183546297967123548816374925794251836532968471349785162278619354651432789,24,0.0
190,.1....67.7...8.........24.....3..74.3.....8.5..4.....9.46...3.....79...827.......,418539672732486951695172483921358746367941825584627139846215397153794268279863514,23,2.2
191,......7.3.8..4....61.3.5...3..1....7..52.....7..8..46........2.1..9...7.95..3.6..,549612783283749156617385942368154297495276831721893465874561329136928574952437618,25,0.0
192,4.56..1..7...18.39.....2.....958..6.....7..5...8.....2....34..72...........9.....,435697128762418539891352476129583764643279851578146392956834217214765983387921645,23,0.0
193,..1....5895.7...6.7.43..........6.4....9..1....354.......1.42951............37...,321469758958721364764358921279816543546973182813542679637184295182695437495237816,25,1.9
194,....8......82...63.2........14..8.75.......32..2..5.8.........79.5.4.6..18..9....,367584219498271563521639748614328975859467132732915486243156897975843621186792354,24,1.9
195,83..4....5.26.........2.9.5.....1..7...47.85.2......9448.....79..5....8.1..5..6..,839145726512697438764328915348951267691472853257836194486213579925764381173589642,27,5.1
196,.2...7...3..6.....1..8..27........62..8.417...75..24........9.88.2...3...5...9.2.,526917843387624195149835276431798562268541739975362481614273958892456317753189624,26,0.0
197,.......3.....3..4..592.....2.48...61.6.5..3....8.9.42.42.9...........8....1..6...,742158936816739245359264178294873561167542389538691427425987613673415892981326754,24,1.6
198,5..........78...1...214...7..1..83...5..2..9.6..3..2..3..79.1.21.9....5......49..,516937428437862519892145637921678345753421896684359271345796182169283754278514963,27,3.6
199,32....9....6..7....1....82....84....5.....2.87..3..6.5.7.51..9......6......4.83.2,325184967486297513917653824632845179541769238798321645873512496254936781169478352,26,1.5
200,43....7....2...8..5..6....12679.5.4....7.........12..58..4............3....5.7..9,439158762612379854578624391267935148185746923943812675856493217794281536321567489,24,3.6
201,....2.6..4..7..35.98..4...27.8...4...1......3..2..7.......3..89...5.....24...1...,175328694426719358983645712798163425614952873352487961567234189831596247249871536,24,3.0
202,4...........5......539..14......2.5.817.3....9..78...6.41..82...6..7...3.........,492817635186543792753926148634192857817635924925784316541368279269471583378259461,24,0.0
203,3.4....7..7..1..83...4..5........3.9.....7....3.85..464...........249.6...8....5.,394528671275916483816473592587164329642397815139852746421685937753249168968731254,24,1.5
204,..7...6...5...4.3...6...84.3.1.96.......3....2....19..9..8....2.......8....75.49.,427385619859614237136927845341596728795238164268471953914863572572149386683752491,24,1.9
205,..32.......96.18.45....8....68...97..2.....4674.........6.....9...8.93.1.........,683294517279651834514378692368142975925783146741965283836517429457829361192436758,24,2.3
206,..4..2..3....4.2.....97..6..9.......781..3.....2...3....82.....9..8..452...1359..,164582793879346215235971864396728541781453629542619378658294137913867452427135986,26,0.0
207,..1.4...8..5.7.6.2.24..3.1.2..19...61.9...........4.....3...521....6.8.9.........,971246358385971642624853917237195486149638275856724193763489521412567839598312764,25,1.5
208,..7..83..3.....9...69..3.5..7...6....85.41......8...7.6......9.14.2.5..6......2..,527918364314562987869473152271356849985741623436829571652137498148295736793684215,25,0.0
209,.7.....5......284..5.6..........5...63.......79.43..8.......3...8...16.2.639...78,276843951319752846458619237841295763635187429792436185927568314584371692163924578,25,1.1
210,1.....35...84.......7.832...61..7.2........8..72.6.9.1...6.......5...1.7....9....,149726358328451679657983214961837425534219786872564931413675892295348167786192543,24,1.4
211,....4.6.......6.18.59.....4.48....21.7...4.3......5....1.....8.4.319........27...,831742695724956318659381274348679521572814936196235847217563489463198752985427163,24,2.6
212,..5.4...3.7...9..5.3...1..9...86.5.....3..2.6....5..9.7.2...1..6..2...3..9.......,925748613871639425436521789349862571518397246267154398752983164684215937193476852,24,1.3
213,..1.2.7..3......5....7.369....1.....68.....21...9..53...6.7.3.41........83...49..,961825743378469152425713698253146879689537421714982536596271384147398265832654917,26,1.8
214,61..2.3..4...8.1...9..7.......2.....16.8..........6.5.2.....8.3387.4.6....6.....4,615429378472583169893671542534217986169854237728396451241765893387942615956138724,25,1.4
215,.2...93...3......15984..........6...2..8....4..67..91.1......7..6...7..5....5.6..,421679358637285491598413726914526837273891564856734912145368279362947185789152643,24,2.0
216,8...3714.....6...3...2819..6....9.......73..5.5.6......37....2...9....1.......7.8,896537142712964853543281967678459231924173685351628479137896524289745316465312798,25,3.0
217,....5..1.6...7.3.2....81.....2...74.87..4.6.......8.2.428.1.....6......51..6.....,294356817681479352537281469312965748875142693946738521428513976769824135153697284,25,0.0
218,......7....56.3......97.2.....8....2.7139..5...6.2..4.54..6...........6.1..78....,398542716725613894614978235439856172271394658856127943547269381982431567163785429,24,1.7
219,...78.1........4....8913.7..5.4.2...1.........47...5..........972.8.......41.7...,295784163371625498468913275659472831132568947847391526513246789726859314984137652,23,0.0
220,5....3.84..1...3.5.2..45..72......98....21..........3..98.1....43.29..........4..,579163284841972365326845917263457198987321546154689732798514623435296871612738459,25,0.0
221,8........2.3..5....79.....1......38..5...4.....2.9.17....85.2.7..8..9..35.1..6...,845917632213465798679328451196572384357184926482693175934851267768249513521736849,25,0.0
222,......35.2....6..1.19..3..6...6.729.....89......3.......6.9..1...4......1385..7..,867941352253876941419253876385617294672489135941325687526798413794132568138564729,25,1.5
223,.62.....5....247..1..3..6..4...8..1...64..8......3..7..7........13...4275......9.,362871945958624731147395682425789316736412859891536274279143568613958427584267193,25,0.0
224,7.83..6...167..3...3......22........9.4.2..8.67...3..43....614......9...........7,728345619416792358539168472283457961954621783671983524392876145847519236165234897,25,1.0
225,..6.2...38.....62...396.1.....6....5.7..4.31......2..793.5...81.8.......5......7.,456128793819735624723964158392617845675849312148352967934576281287491536561283479,26,1.6
226,...5..6..4.2.1.7..78.9...4....45..2...1.2..6..28...1...7...39..8..........5....7.,193574682452618793786932541367451829541829367928367154674283915819745236235196478,25,0.0
227,.1........73.54.........8.7.64....7..5...2.6.1...6.2.5.....59.......3..2..6.9.4.1,912876543873254619645931827264519378759382164138467295487125936591643782326798451,25,0.0
228,......8.25...8.19....3.256.93..5..1..8.7.......7.2....8...3.....24..7.5..5.......,643591872572684193198372564936458217285716439417923685869235741324167958751849326,25,2.0
229,..8.....6....5184.....8....4....93.77.....5...31.2...9..6.......4.2.......34.71..,258374916397651842614982735482519367769843521531726489876135294145298673923467158,24,0.0
230,...4.63..6..7...9..9..3.........2.67........82...67.....48........2.371.7....5.2.,517496382683721495492538176341982567976154238258367941124879653865243719739615824,24,0.0
231,3.4........5..8..9.7.....46.9..4.2..4....1.7.2.......1......3.....817..5..6.5....,384169752625478139179235846591743268468921573237586491852694317943817625716352984,23,1.0
232,.7..4...6..2........5.6..1.....8..52...9..8....6..7..393.1...4........8..8.3....1,178245936692831574345769218719683452453912867826457193937128645261574389584396721,23,1.3
233,.91.5.....4.....7..7.3.9........6..4.29...8..83....9.....6.5......98.2.67...1....,291754683643128579578369142157896324429531867836472915982645731314987256765213498,24,3.9
234,..6..5..2.5.....1.978..15.38...........5........29.16.3.....7..5..9....8.64.3....,136745892452389617978621543825416379691573284743298165389154726517962438264837951,25,0.0
235,4......1....9.6..81627..3..6.92...8...5.7...1......7..2...........3.9.....64.5...,498532617753916248162748395679251483845673921321894756284167539517329864936485172,24,0.0
236,.147...23..59...4...7....1..2........5..423...6.3.5..7..6.....8.....1..9...437...,614758923285913746937264815823176594759842361461395287346529178572681439198437652,26,0.0
237,49.1..8........163...5......1..9.3..58.....4.......9.56.7..1..9...6.4..28..97....,493126857275849163168537294716495328589213746342768915627351489931684572854972631,26,0.0
238,..9..4....6538...9...2....5..6.25....2..........49.7......3.1..7..5....2658.....4,839154267265387419147269835376825941924671583581493726492736158713548692658912374,25,2.3
239,..8.392.1..3.......6....9...2...41.7....5..2.9..7.6...3....14.....6.58.2.........,578439261193862574264517983826394157437158629951726348385271496719645832642983715,24,1.2
240,5...76.9....59.4..6.2......968.1...........7..7..8361.........58.47.2..9.....8...,541276893387591426692834751968417532413625978275983614726149385834752169159368247,26,0.0
241,.2..8.....4...3.7...84.1..3..4.1..5..3..6......25.9..736......8.7......9.......6.,923786514146953872758421693894217356537864921612539487369175248275648139481392765,24,3.3
242,..1.9.2..5...3..9..2.5..46..........65..........7..6.8.3..2.7.1..6.8..2.9..4.....,341697285568234197729518463287369514653841972194752638835926741476185329912473856,24,1.0
243,286..3.7..4......8.7......61.8...9..7..2.......2..6.......35..26...9.1......82...,286943571549761238371528496168354927734219865952876314897135642625497183413682759,24,2.4
244,.3..94......5..89..6..3...5..6....52....5...872....1...1.2.....3.....9....29....7,538194276471526893269837415846319752193752648725468139917283564384675921652941387,24,1.8
245,....4..53.3...9....675...4...5.....7...783.2....2....9..68..........4.3.8......14,128647953534129876967538241285491367691783425473256189346815792712964538859372614,24,1.8
246,...86...45.....19......3.....4.1.6...61.32...9......2..28....7....6...........54.,172869354536274198849153267284715639761932485953486721328541976495627813617398542,22,3.2
247,.....7.6...1..69.....93...7..3.....6...21.38.82...........6..1..1....42.7.28.....,495127863371586942286934157153748296967215384824693571539462718618379425742851639,24,3.8
248,......6..1.7..43...647....93.2891......3.7.....8...........621.74..5..9....4..5..,235189647197564328864732159372891465456327981918645732583976214741253896629418573,26,0.0
249,..3..........2...62..94.71..7.2...3...6...5.....3..6.97.........9....14353.4...9.,183657924947821356265943718879265431316794582452318679724139865698572143531486297,25,0.0
250,..........8.6.4...13......6.6...91....24...9...5..74....8.....9...5....45.7.1..6.,256198347789634251134275986463829175872451693915367428328746519691582734547913862,23,0.0
251,9.....7......5..69.3.1.8.....4..539..1......56...8.........6......814...52.......,951642738482753169736198524874265391213479685695381247149526873367814952528937416,22,3.0
252,....39..7786......5..4...........945.4.19..........8..86...34....5.8....2.75.4...,124839567786251394593476218671328945348195726952647831869713452415982673237564189,25,0.0
253,4.1..9..2....7.......4.18...5.....7..4......18....532.1956.4.8...72...1.......9..,461859732928376145573421896359162478742983651816745329195634287637298514284517963,26,1.5
254,..8..32....41...5..6.2..1...4..5.......3...272...1...848..........835...9..76....,198573246324186759765249183847652391516398427239417568483921675672835914951764832,25,1.9
255,.1...8.7682.....9.3....7.8.....9.3...5..3..2.26..1.........16..5.......7......2..,915328476827164593346957182178492365459836721263715948734281659592643817681579234,23,2.0
256,.....42...8......5.7....81..5.....3....32..8.2...6......15....7.3.6...5.9...43...,569184273184237695372956814856471932417329586293865741641598327738612459925743168,23,3.4
257,5..1...6..1.49........2....36...9...9..5..21......1..68......5.....7.9..7.36.....,527138469618495372439726581361289745984567213275341896842913657156872934793654128,23,1.5
258,......4...48...5.115...7.....2.4.8..894....2..6.9.....9.....7.25.6.2.........3.8.,279815463648239571153467298712346859894571326365982147981654732536728914427193685,25,2.1
259,1......2..3.9......892...1..5...31..76...8..2....94.57...3.79......8....3.65.....,175836429432971586689245713958723164764158392213694857821367945597482631346519278,26,2.0
260,..3......9..2...8..2.6..7.5....6.......4.9...25...76.3..7..1.5..3...5.7...4...2..,743518962965273481821694735418362597376459128259187643697821354132945876584736219,24,3.1
261,...9....5..8...1..41.8....6..91.36.........272.6.7.9...7.6............3.3....47.8,623917485598346172417852396789123654135469827246578913872631549964785231351294768,25,0.0
262,....8.5...7.1..28.95.7.3.1642...6......25......9..4...5..3.79..........5.63......,241689573376145289958723416425976138837251694619834752584367921792418365163592847,26,1.6
263,...3..9.819...2.5..256..7.....48.6..4.......5.1..3.......5...9.7..........6...14.,647351928193872456825649731372485619469217385518936274231564897784193562956728143,24,0.0
264,..9.3.6174715..............1..65.........823..47..3.........5.23.2.....85...4....,259834617471526389638197425123659874965478231847213956794381562312965748586742193,25,3.6
265,2.1.4..9....8..5....5..7.82.53....69...2.5..11........76...2......65.82......4...,281546793679823514345917682453178269896235471127469358768392145934651827512784936,26,0.0
266,582...3.....1...6.3....7.......46.1...1.2...59..7.1...753.62...2...........3..8..,582694371479153268316287459827546913631928745945731682753862194268419537194375826,25,1.8
267,....324.....8..6....17.9.23.......3.2.59....8.6721.....1........3......4......87.,576132489923845617481769523198456732245973168367218945814527396739681254652394871,24,1.9
268,...7....4.2..1......3.8.275..9....61......59.1..3...2..4.63.7..2.......9.9...5...,985762134427513986613984275379258461862471593154396827548639712231847659796125348,25,4.2
269,.5.6..84.6.8...7....3.........1...9..7..5...13...8...4......1.....3.....2.14.6..9,157639842698542713423718965845163297976254381312987654734895126569321478281476539,23,4.6
270,3....97..96........2..561..6......2.....6...9.394...1...5.....3...28..71.......6.,354129786961748235827356194618935427742861359539472618285617943496283571173594862,24,0.0
271,...79.1..9.31.2.4....48.....4..1.3..178.......6..4.2..5.1....6...........92...471,824795136953162748716483925249516387178239654365847219531974862487621593692358471,27,0.0
272,..9...7.18...13.5......5.94.9......2..6.....7....52...42..........1.4..3.1.2..8..,539426781874913256162785394398647512256891437741352968423568179985174623617239845,24,0.0
273,...9....85....3..9.4...2..5.....5.319.841.5......7......7.9..1.3..7..8.6.........,613957248572843169849162375764285931938416527125379684257698413391724856486531792,24,0.0
274,..3.......9...48..4...1....8...3..6....9.721...4.8.9.723.......74....3.....5..7..,513798642692354871487216593879132465356947218124685937238479156745861329961523784,24,2.3
275,........76.4.2.1..3....142.8...5..92...2......9.46..3.26...5.........2....8....43,921684357654327189387591426846153792135279864792468531263745918419836275578912643,25,0.0
276,.......9.913..64.2........7...1.7.3.28.9.........6....6.458......14....98.9......,742318596913756482568294317495127638286943751137865924624589173351472869879631245,24,0.0
277,.....31......2.4..6......2.......3.157...62.4...7.8...95..........94..6..3...1...,425863197187529436693174528869452371571396284342718659954637812218945763736281945,22,1.2
278,68......4.2...3.....4.52.....6..8.75....4....1..9.7..843.1..6.....2..3.........59,685719234729483516314652897946328175872541963153967428437195682598276341261834759,25,2.8
279,.6......8.7..38.5...2..13....4.278.51....5...6.....9.........2.2..9....7.1......4,463259718971438256852761349394127865187695432625843971749586123236914587518372694,24,2.5
280,3......6...89...1...9....5..76..3..82.....7...4.......9..73.....8..42.......9..85,317254869528967314469381257176423598293815746845679132954738621681542973732196485,23,2.0
281,....5...7.2.....684..2.......3..7.5.9.1.......7......2.8...25.......34..5.67.....,839651247125974368467238195243897651951326784678415932384162579792583416516749823,22,3.0
282,.....4.....8.9.......7...831...4.97.4.3.......8.56....3.9....5.5.6..34.9....1....,652834197738691524941752683165348972493127865287569341319476258576283419824915736,24,0.0
283,.7..5..38......59...1..6...1..23....387.....56......1..6.37.......8.......91..4..,972451638846723591531986274195237846387614925624598317468379152213845769759162483,24,1.0
284,.5..6..4.2..1.85..49....8..64........2...9.619.8.....2.....3.5......6..3...7.....,853962147276148539491537826647321985325879461918654372769413258584296713132785694,24,0.0
285,.....8.7....9...34952...8..71.3..2...48.9...1.....4..5.29.....3..6.........4.....,364158972187962534952743816715386249248597361693214785829671453436825197571439628,24,1.5
286,.5...8......3.4...136.....2.......1.81.5....7...23.8.6..376...42...9.7...........,459628371728314659136957482364879215812546937597231846983765124245193768671482593,24,0.0
287,3........28.....6....6..429....94...7....15...9.3....7...21..7....4.8...5.1.....4,369142758284579361157683429615794832743821596892365147438216975976458213521937684,24,0.0
288,9..6........2..5.4....3.6.2.42.1...7..7........5.9...6.6...23...7...4..18........,923645718716289534458137692342516987697428153185793426561872349279354861834961275,23,3.0
289,...42.7.384.9...........2..2.....35...4...87......1..2.96..4....5...9.....3.6.5..,961425783842973615375816249219687354634592871587341962796254138158739426423168597,24,0.0
290,...7..8......2..5....5.1.4.6.5..9...1.3.72.....9......5.8...2.......4.383.1..67..,956743821714928356832561947625819473183472569479635182568397214297154638341286795,25,1.6
291,7....3.9..6.....2.3.4.......43.2......9..1.58..1..9..6.......7....49....8..67.4..,715283694968514723324967185543826917679341258281759346456132879137498562892675431,24,0.0
292,8....5...2..93..8..4.....3......84..57....1...26..........8..6...57......143.97..,863215947257934681149876235391528476578643192426197853732481569985762314614359728,24,3.4
293,.....9.....2.........7..46.7.....58..2.4....31.93....7.6..7....9...8.2..8.35...7.,487619352652834719391725468736291584528467193149358627265973841974186235813542976,24,3.3
294,..7...86.2..3....4....8.1.....931...9..74.3....1....5...6....15.....4..3.7......6,137459862289316574654287139725931648968745321341628957496873215812564793573192486,24,2.0
295,....3.68.87.6..4..6...9......1.7...33.6....42......9........2..2..4.8..741.......,194732685873615429625894371941276853356981742782543916538167294269458137417329568,24,0.0
296,....9.8..8.1.7..2....3..9.....5......17.8..4...4....1...61.27....2.5......9..3..5,273491856891675423465328971628514397317986542954237618586142739732859164149763285,24,0.0
297,..4..6...6.2...1.....57.3........5........9644.6..923.8..6..4....9152..........1.,534216897672893145918574326293461578187325964456789231821637459749152683365948712,25,1.2
298,.4...........75.......6147.7.62..9....9....65......1...1....38.8........3...5...4,947382651261475893583961472756213948139847265428596137615724389874139526392658714,22,2.8
299,...1..2.......7.5..7...91636.....5.284.........9....7..2.63...91....8....6.2...8.,386154297291367854475829163617983542842576931539412678728635419154798326963241785,25,3.3
300,4721..3.6..6.....2.........3..6........24.9.7.4..8....85..6..21.2.3..8........7..,472195386916438572538726194395671248681243957247589613853967421729314865164852739,25,2.9
301,...3.9..1........653..8....2....6........415..7.9....3.1.5..429.674..3...........,642379581781245936539681247253816794896734152174952863318567429967428315425193678,24,5.5
302,.1.6...39..21....4...97...6....4...7....8.5..68...9.....7.61...5..............9.8,714625839962138754358974216129543687473286591685719342897361425546892173231457968,23,2.6
303,4.....3......1.25..12...89.9..843..62.....14............6.284..1...6...3.5.......,497582361368419257512376894971843526283657149645291738736928415124765983859134672,25,1.2
304,..4.......7...1.9..19.4..5....7.3.......14..345.6....8...5..2.4....8....6.1..2...,264975831875361492319248657128753946796814523453629178987536214542187369631492785,24,0.0
305,89.......4.....51..3...7..296....1......5.6..1...68....4...2.53...9....8....73...,895421376472386519631597842967234185284159637153768294748612953316945728529873461,24,2.0
306,..4.....3..3...78......8291.4...7.........5..5.1....28.........35..9...69...51...,824179653193265784765348291648527139239814567571936428412683975357492816986751342,23,2.2
307,6......1...87......92..4........62.....5..14...4..9835.8.1.........23....2.96...7,647352918358791624192684753815436279239578146764219835983147562576823491421965387,25,1.6
308,...45...8.1......27..6..1....59..721.93...........6.8.3.....61.27..9.....8......5,962451378518379462734682159645938721893217546127546983359824617276195834481763295,25,0.0
309,..9..4..6..6.3....8...2.....4..6.2..1.7..2.64..2...1..7......5....8...3..157.64..,239574816456138729871629345543961278197382564682457193768243951924815637315796482,26,2.7
310,........4......8.2...4..19.6..9...57.85.1....39.......862......91....67......8.2.,156829734439571862728436195641982357285317946397645281862794513914253678573168429,24,1.5
311,..374.6.55......8.....231......7.....26..159.4..6..........67..9..2.5....8......3,193748625542169387678523149851974236726381594439652871314896752967235418285417963,25,0.0
312,.4....7...56..8....2.7....36......3...78....1.8.1.....5..2....4....546..9..3...7.,143629785756438129829715463691542837437896251285173946518267394372954618964381572,24,0.0
313,5....41.94..7.3.....2..........5..6.65..3..7...8..1.....32.9....9..7...81.......6,587624139416793285932185647341957862659832471728461593863219754294576318175348926,24,3.3
314,.8.....3.....7.62..4...9......5..19.8....45..6...83.....5...4.7...1.6...43.......,786421935913875624542639871324567198897214563651983742165392487278146359439758216,23,0.0
315,...9.85......45.......7.8.3.9......6132...9.8..7....1..6....3....97.4...3..8....5,743918562826345179915672843594281736132467958687593214468159327259734681371826495,25,0.0
316,..4..3672.5.....4..8.2....5..7..1....3..2........79..4.98.1.76......4..9..5......,914853672256197348783246915547381296639425187821679534498512763162734859375968421,25,0.0
317,5...9.4.....1.8..967.......2...5.....1....74......7.2.9.5.712..72.8..............,581792436432168579679534812297453168316289745854617923965371284723845691148926357,23,0.0
318,....79.....45..89....4.......915..7.15.93...26.........65.8...3.98...1.....3.....,531879264274563891986412735829154376157936482643728519765281943398645127412397658,25,3.3
319,..63..8.7.2......6..4.9....95..3.......82.1....8..4..9..31...74.....7...5........,196345827325718496784296351952631748437829165618574239863152974241967583579483612,23,1.4
320,........5.6....3.1.4..8......3..42.8.9.2..7..2.53....6.8..7.....3.......1.4....9.,829136475567942381341587629613794258498265713275318946986471532732859164154623897,23,0.0
321,7........5......26.3..6.71......19...9.8.5.41.68.......149....3....2..7...3.....4,726513498541798326839462715457631982392875641168249537214957863685324179973186254,25,1.4
322,2......64....46.59....3......7...64.8..1...2...3..2.....5.8....67.......1....4.8.,259718364731246859486539217527893641864175923913462578345687192678921435192354786,23,3.2
323,3...........537.2..9...1.78..9....84.82......16....9.2..81............4.73..84...,327896415814537629695421378579362184482915736163748952948153267251679843736284591,25,0.0
324,914..3......4....9....8..1..627..3...........7.9.62..46.....95..2.5.4.67........8,914653872258417639376289415562748391481935726739162584647821953823594167195376248,26,2.2
325,.7....4....583....1.3.429..7..5..23.6..2......3....81...........1...6....2....579,879165423245839167163742958784591236651283794932674815598327641417956382326418579,25,4.4
326,935..1....2.7..........2..65...6.1.......4.6.31.....9.7.93...2....4.73...8..5....,935681247624739851178542936542963178897124563316875492759318624261497385483256719,25,2.5
327,2...7...6...........1.9...7719......4.6..8..2...3......8...2.51927.....3......6..,298175436374286915561493287719524368436718592852369174683942751927651843145837629,23,0.0
328,..75.3..1.2.9..3......2.........819.......5..8.2.9.6...8.......1...328....6...954,967583421421976385358124769543768192679241538812395647784659213195432876236817954,25,0.0
329,..7........1..96.....645......2..7.1....7.86....3...4.85..6.....4.1.2..6..3...2..,567813429431729658298645317986254731324971865175386942852467193749132586613598274,24,2.9
330,32.......1...39.....6....1..5....9..7......5..3.67....9..82...1..7.....4...1..8.6,325416789178239465496758312654381927781942653239675148963824571817563294542197836,23,2.4
331,..2....6..3.....4.971........6...4.8..5..9.7.2..14....5....16.......7..1...98..5.,452318769638792145971654823396275418145869372287143596529431687864527931713986254,24,0.0
332,.74..2.95.9....4....89..6....1.24....2.7........6.8..4.52..617...6.19............,374162895695873421218945637861324759429751386537698214952436178786219543143587962,26,0.0
333,8..2...5..6.5..1.........97..468........14..2......5...2..6.37..1.4.....6..7.1...,871296453369547128542138697234685719756914832198372564425869371917453286683721945,24,4.1
334,..5.........9.64.14.7....237...4..32..........4...87..3......1.9.......4..1..96..,195324867238976451467581923789645132612793548543218796354867219976152384821439675,23,0.0
335,1.2.4........56....8.2..4.........9..6..9..2..57.2.3.8...1..7.26.....1...7......3,132947856749856231586213479214385697368791524957624318495138762623479185871562943,24,0.0
336,.....3...4....15...5.47...39.......42..53........4..6...29..3.6......1.....6...8.,729853641436291578851476923915762834264538719387149265172984356648325197593617482,22,2.2
337,..4..98...2....5.18...6....4..7......5...1...6..5...42.8.4..71.............93.4.6,564179823729384561813265974491723658258641397637598142382456719946817235175932486,24,2.6
338,.1.....6..8.....74.....2....761...48..4.7......96....37...........3619...5..9.8..,417983562982516374365742189576139248134278695829654713791825436248361957653497821,24,0.0
339,3.59..4......34.2..........97.....14...5.7.....4....6..1..2..4..297..3..7.6..5...,365972481197834625842651973973268514681547239254193867518329746429716358736485192,25,0.0
340,83...6.5.......6....2..9......6.1..86....4.2.4..7..3....1.9528.....72...........1,837216459594387612162549873723651948658934127419728365371495286986172534245863791,24,0.0
341,...9....3.2.376....71..5...18......5..72..6..4.......2.5...14.........9.6...9..5.,865914723924376581371825964182769345537248619496153872259681437748532196613497258,24,5.2
342,...2.15.6..6.....2.......74....9.8..685...4...3..14........67.....5...3.547..9...,493271586876453912251968374714695823685732491932814657329186745168547239547329168,25,0.0
343,9....68.4......1....1...5.7...8.5......24.3...6973.......5.....54.....728.....65.,975126834384957126621384597132865749758249361469731285296573418543618972817492653,25,0.0
344,.........46..5......1..3285.1.5..4.....8...9..4.9.751..............71.3.7..4..6..,385729146462158973971643285819532467657814392243967518124386759596271834738495621,24,1.0
345,7...3..1..64.....3....794...4.1...5.9.5.8..4............68.427.....6....81...7...,798432615264518793153679482347126859925783146681945327536894271479261538812357964,25,4.0
346,....853....6..9.2.35......474.....3689..7........1.7.8.7.............6.5.6.93....,427185369186349527359762184741598236892673451635214798278456913913827645564931872,25,0.0
347,..49...1..1....5.6.....8.3..83.6.......5....9.9..2..7.2.5.91.83.....5.....8...2..,324956718819372546657148932583769124742513869196824375275691483431285697968437251,25,1.5
348,..27.......4.9.5..89.....1....5.....4..83...5.6.94...3...625..8......79.......4..,532714689614398527897256314983567241471832965265941873749625138156483792328179456,24,1.3
349,3.98.......2..4....7......4...3.95.7....5...2.5..2..1..385..2...6...2.....16..84.,349865721612974358875213964126349587783156492954728613438591276567482139291637845,26,3.1
350,....8...7...1.4.5.4.36......2.....7..76.4..2...15........3...82..2..67.9........5,165289347297134856483657291528963174976841523341572968714395682852416739639728415,24,1.4
351,8...7..6...31.49..2.....37.4..91.....6...2.........7...18.6..........2....4.8..57,849573162673124985251698374487916523365742891192835746518267439736459218924381657,24,1.0
352,.2....7......3...6..5....2......9..5..2....1..1.4.78..7...264..1......9...9.74...,321648759897532146645791328438219675572863914916457832753926481164385297289174563,23,0.0
353,.4...6....92......6.....9.7.89..14.2........35....9.6.2...4.3...7..1..58....28...,743296185892157634651384927389561472416872593527439861268745319974613258135928746,25,1.5
354,.....19.3..8...1.74.2......6..7......5..9..3....43.8.5..93....4...15....2........,576821943398564127412973586683715492754298631921436875169387254847152369235649718,23,1.5
355,.......5.7...8.....2....13.81......6..2......6..9.1..7.7..9.5..43.72.9.....5.6...,368412759791385642524679138817253496942867315653941827276194583435728961189536274,24,0.0
356,.4....35......3..2.874..9...1368....2.8...7...5.7........5...74...9...3.8.6..4...,142896357569173842387452916713685429298341765654729183931568274425917638876234591,26,1.3
357,82..5.....1....8......6..15..6.8..4...15..3...3....5.9.8...61.3......9.....2.3...,829154637615732894374968215256389741491527386738641529582496173143875962967213458,24,2.3
358,......1.....5.9.6..53...8.....2.1.....6.8.2....8.4.7...4.628....8..7..256........,269837154874519362153462897437291586916785243528346719745628931381974625692153478,24,0.0
359,....17...5.........86...9.56......4.....218...1.745....4...2..7.7....26...3.....9,492517386531896724786234915627389541954621873318745692845962137179453268263178459,24,0.0
360,...5..842...3.9..6.46...9....218.5.3.8......95........3.7.......5..62........5.6.,973516842825349716146278935692184573784653129531927684367491258458762391219835467,25,0.0
361,.3.2.5....8...1..2.4..7..38....1..8.75..........5..76...14....93...96...2...5....,136285497987341652542679138623714985758963241419528763861432579375196824294857316,25,2.9
362,.2...3.4....6.....5.87...16.4..2..9....1...84......5.........6.83...9......3.52..,126983745374651829598742316643528197952137684781496532215874963837269451469315278,23,0.0
363,4......875..1...4...9..31...8...4293..........25.9.7........53.6....5..8..17.....,412956387538127649769483152186574293974362815325891764297648531643215978851739426,25,3.9
364,..............259.21..85...5..6.8.....6..1.24.74...6..4...3..8...8.5.1.2.......7.,985364217643712598217985346521648739396571824874293651462137985738459162159826473,25,0.0
365,9......4.......3.2.5..72.6.2.....4.37.......1..13.8.9....48.....8....7.63....69..,972631548816945372453872169268197453739564821541328697697483215184259736325716984,25,0.0
